id,fecha_venta,modelo,cantidad,precio_unitario,tarjeta_de_credito
1, 4/20/2022 , XJ, 1 , 10541.080078 ,    374622057860362
2, 8/29/2022 , F250, 2 , 13771.490234 ,    374622057860362
3, 11/1/2022 , Forenza, 3 , 8299.950195 ,    374622057860362
4, 1/17/2022 , Electra, 4 , 19602.150391 ,    374622057860362
5, 12/15/2021 , Express 1500, 5 , 2031.510010 ,    374622057860362
6, 8/30/2022 , X3, 6 , 18872.890625 ,    374622057860362
7, 6/3/2022 , Mountaineer, 7 , 14673.049805 ,    374622057860362
8, 1/21/2022 , A4, 8 , 8296.160156 ,    374622057860362
9, 3/14/2022 , Previa, 9 , 6789.609863 ,    374622057860362
10, 6/29/2022 , Loyale, 10 , 2608.629883 ,    374622057860362
11, 11/20/2021 , Grand Prix, 11 , 11035.660156 ,    374622057860362
12, 11/25/2021 , E-Class, 12 , 4072.770020 ,    374622057860362
13, 12/7/2021 , Oasis, 3 , 6337.680176 ,    374622057860362
14, 10/2/2022 , Volt, 14 , 17495.820312 ,    374622057860362
15, 1/18/2022 , S-Series, 15 , 11117.339844 ,    374622057860362
16, 11/30/2021 , Escalade, 16 , 9772.559570 ,    374622057860362
17, 12/8/2021 , Armada, 1 , 3924.270020 ,    374288903261377
18, 1/31/2022 , Alpina B7, 18 , 7401.359863 ,    374622057860362
19, 6/8/2022 , BRZ, 9 , 10749.250000 ,    374622057860362
20, 9/10/2022 , Tahoe, 20 , 19972.769531 ,    374622057860362
21, 1/20/2022 , Legacy, 21 , 5949.049805 ,    374622057860362
22, 12/16/2021 , Firebird, 22 , 3190.949951 ,    374622057860362
23, 6/12/2022 , Regal, 23 , 6522.580078 ,    374622057860362
24, 10/30/2022 , Liberty, 24 , 12482.320312 ,    374622057860362
25, 10/26/2022 , Galant, 2 , 13449.559570 ,    374622057860362
26, 2/23/2022 , H2, 6 , 16699.179688 ,    374622057860362
27, 6/28/2022 , Challenger, 7 , 4551.509766 ,    374622057860362
28, 8/27/2022 , VUE, 2 , 11878.580078 ,    374622057860362
29, 6/26/2022 , Corvette, 10 , 14121.120117 ,    374622057860362
30, 9/5/2022 , 2500 Club Coupe, 3 , 14150.509766 ,    374622057860362
31, 11/16/2022 , Grand Vitara, 8 , 9323.519531 ,    374622057860362
32, 11/15/2022 , Range Rover, 2 , 12500.469727 ,    374622057860362
33, 9/9/2022 , Breeze, 12 , 11117.349609 ,    374622057860362
34, 5/21/2022 , F150, 4 , 14928.099609 ,    374622057860362
35, 6/15/2022 , CR-V, 4 , 12214.309570 ,    374622057860362
36, 1/16/2022 , Element, 26 , 12576.969727 ,    374622057860362
